Run,Well,plate
dAL_1k_Proto29_1,A1,1
dAL_1k_Proto29_2,A2,1
dAL_1k_Proto29_3,A3,1
dAL_1k_Proto29_4,A4,1
dAL_1k_Proto29_5,A5,1
dAL_1k_Proto29_6,A6,1
dAL_1k_Proto29_7,A7,1
dAL_1k_Proto29_8,A8,1
dAL_1k_Proto29_9,A9,1
dAL_1k_Proto29_10,A10,1
dAL_1k_Proto29_11,A11,1
dAL_1k_Proto29_12,A12,1
dAL_1k_Proto29_13,A13,1
dAL_1k_Proto29_14,A14,1
dAL_1k_Proto29_15,A15,1
dAL_1k_Proto29_16,A16,1
dAL_1k_Proto29_17,A17,1
dAL_1k_Proto29_18,A18,1
dAL_1k_Proto29_19,A19,1
dAL_1k_Proto29_20,A20,1
dAL_1k_Proto29_21,A21,1
dAL_1k_Proto29_22,A22,1
dAL_1k_Proto29_23,A23,1
dAL_1k_Proto29_24,A24,1
dAL_1k_Proto29_25,B1,1
dAL_1k_Proto29_26,B2,1
dAL_1k_Proto29_27,B3,1
dAL_1k_Proto29_28,B4,1
dAL_1k_Proto29_29,B5,1
dAL_1k_Proto29_30,B6,1
dAL_1k_Proto29_31,B7,1
dAL_1k_Proto29_32,B8,1
dAL_1k_Proto29_33,C1,1
dAL_1k_Proto29_34,C2,1
dAL_1k_Proto29_35,C3,1
dAL_1k_Proto29_36,C4,1
dAL_1k_Proto29_37,C5,1
dAL_1k_Proto29_38,C6,1
dAL_1k_Proto29_39,C7,1
dAL_1k_Proto29_40,C8,1
dAL_1k_Proto29_41,C9,1
dAL_1k_Proto29_42,C10,1
dAL_1k_Proto29_43,C11,1
dAL_1k_Proto29_44,C12,1
dAL_1k_Proto29_45,C13,1
dAL_1k_Proto29_46,C14,1
dAL_1k_Proto29_47,C15,1
dAL_1k_Proto29_48,C16,1
dAL_1k_Proto29_49,C17,1
dAL_1k_Proto29_50,C18,1
dAL_1k_Proto29_51,C19,1
dAL_1k_Proto29_52,C20,1
dAL_1k_Proto29_53,C21,1
dAL_1k_Proto29_54,C22,1
dAL_1k_Proto29_55,C23,1
dAL_1k_Proto29_56,C24,1
dAL_1k_Proto29_57,D1,1
dAL_1k_Proto29_58,D2,1
dAL_1k_Proto29_59,D3,1
dAL_1k_Proto29_60,D4,1
dAL_1k_Proto29_61,D5,1
dAL_1k_Proto29_62,D6,1
dAL_1k_Proto29_63,D7,1
dAL_1k_Proto29_64,D8,1
