Run,Well,plate
dAL_1k_Proto29_1,A1,1
dAL_1k_Proto29_2,A2,1
dAL_1k_Proto29_3,A3,1
dAL_1k_Proto29_4,A4,1
dAL_1k_Proto29_5,A5,1
dAL_1k_Proto29_6,A6,1
dAL_1k_Proto29_7,A7,1
dAL_1k_Proto29_8,A8,1
dAL_1k_Proto29_9,A9,1
dAL_1k_Proto29_10,A10,1
dAL_1k_Proto29_11,A11,1
dAL_1k_Proto29_12,A12,1
dAL_1k_Proto29_13,A13,1
dAL_1k_Proto29_14,A14,1
dAL_1k_Proto29_15,A15,1
dAL_1k_Proto29_16,A16,1
dAL_1k_Proto29_17,A17,1
dAL_1k_Proto29_18,A18,1
dAL_1k_Proto29_19,A19,1
dAL_1k_Proto29_20,A20,1
dAL_1k_Proto29_21,A21,1
dAL_1k_Proto29_22,A22,1
dAL_1k_Proto29_23,A23,1
dAL_1k_Proto29_24,A24,1
dAL_1k_Proto29_25,B1,1
dAL_1k_Proto29_26,B2,1
dAL_1k_Proto29_27,B3,1
dAL_1k_Proto29_28,B4,1
dAL_1k_Proto29_29,B5,1
dAL_1k_Proto29_30,B6,1
dAL_1k_Proto29_31,B7,1
dAL_1k_Proto29_32,B8,1
